ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email,calculated_bmi
d165618464,63, 3242  66532  2  2 ,married,169,-99,21,77,199,0,hiccups,2016-06-01t05:26+00:00,67,bachelor-degree,ict-technician,105401.0, 9194  2931  7309  5738 ,47,2019-07-09t14:10+00:00,rec-46792,keyra,pauletta,hamburg-dibetta,f,11/06/1953, 22  macgregor  street  the  grange ,deakin,2600.0,act, 02  9028  4585 ,comtintofj@hotmail.com,-34.6626518679318
i150642589,21, 3385  37618  2  3 ,married,178,-99,20,64,183,0,headache,2014-08-21t07:29+00:00,27,certificate-iii,ict-technician,83494.6513194878, 4800  9828  5689  4023 ,8,2020-04-17t06:45+00:00,rec-8598,kevin,wayne,rasco,f,18/09/1993, 1  sovereign  point  court  apt  302 ,doncaster,3108.0,vic, 03  3642  7767 ,rqonrrkhkh@gmail.com,-31.246054791061734
a145218863,66, 2112  80784  2  1 ,married,180,-99,16,79,184,0,accidental-fall,2012-07-21t13:06+00:00,76,certificate-i,secretary,41233.0, 6986  9187  6555  0567 ,51,2014-11-22t04:17+00:00,rec-3808,robert,rondrail,spruill,f,07/09/1944, 3  collins  close  masonic  vlge , lake  haven ,2263.0,nsw, 02  3226  1259 ,spruill.robert@aol.com,-30.555555555555554
e193947611,63, 3631  95123  2  1 ,not-married,186,-99,37,80,154,0,alopecia,2014-06-05t20:18+00:00,69,advance-diploma,health-professional,137773.0, 9165  8623  9788  3986 ,49,2019-05-08t19:01+00:00,rec-52605,eleanor,eleanore,braswell,f,26/06/1951, 260  main  road  lakeside  shoppng  centre , the  entrance ,2261.0,nsw, 02  5828  8064 ,eleanor37@hotmail.com,-28.61602497398543
f199940301,49, 8951  39432  2  2 ,not-married,196,-99,28,76,120,0,myocardial-infarction-w/-non-st-elevation,2012-06-26t23:11+00:00,57,secondary-school,un-employed,1269.0, 8875  6066  1550  8540 ,38,2020-01-23t05:35+00:00,rec-31061,edward,parker,taylor,m,28/12/1963, 18  sydney  road  inverness ,mudgee,2850.0,nsw, 02  4516  0031 ,taylor2@mail.com,-25.770512286547273
h171511654,52, 2089  86539  2  1 ,married-de-facto,195,-99,26,76,203,1,dizziness,2019-05-03t22:52+00:00,53,advance-diploma,other-technician,122207.0, 8911  3877  6897  4809 ,30,2016-11-11t19:32+00:00,rec-4635,georgia,renae,parks,f,19/08/1967, 146  forest  way  belrose  cntry  club ,belrose,2085.0,nsw, 02  9333  4503 ,parks97@gmail.com,-26.035502958579883
a138643781,15, 5829  19856  1  2 ,married,171,-99,21,74,164,0,dizziness,2014-07-25t13:25+00:00,21,certificate-i,personal-services-worker,57999.0, 0097  0106  6393  4745 ,2,2020-05-12t06:43+00:00,rec-78082,stephen,w,whaley,f,10/09/1999, 228  cotham  road  sunning  hill ,kew,3995.0,vic, 03  7491  0439 ,ifdiinojkj@hotmail.com,-33.856571252693136
d184855585,5, 7349  76226  1  3 ,married,104,-99,20,74,196,0,dental-implants,2020-06-16t10:09+00:00,5,pre-school,,0.0,,0,2020-07-24t21:36+00:00,rec-62918,renee,narron,rothman-webster,m,27/02/2015, 15  jubilee  avenue  jubilee  garden ,broadbeach,4218.0,qld, 07  1510  4768 ,rothman-webster.renee@aol.com,-91.53106508875739
d122324390,9, 3316  12494  1  2 ,not-married,125,-99,26,73,71,0,weakness-in-legs,2015-10-03t18:46+00:00,16,senior-secondary-school,casual-worker,0.0, 3447  9859  4466  0224 ,3,2020-03-10t01:50+00:00,rec-49350,michael,travis,wilson,m,09/07/2004, 69  penshurst-byaduk  road  terama ,gazette,4670.0,vic, 07  4706  0738 ,,-63.36
i112975163,57, 4581  95738  2  2 ,married-de-facto,187,-99,28,68,223,1,diarrhea,2016-01-27t18:01+00:00,61,doctoral-degree,ict-professional,-9999.0, 5557  3599  2668  6635 ,42,2020-05-03t06:51+00:00,rec-1212,mary,olivia,davis,f,25/05/1959, 127  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486.0,nsw, 02  7961  7830 ,bcahpgftll@mail.com.au,-28.310789556464293
