ssn,first_name_education,middle_name_education,last_name_education,gender_education,current_age,birth_date_education,street_address_education,suburb_education,postcode_education,state_education,phone_education,email_education,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name_medical,middle_name_medical,last_name_medical,gender_medical,age_at_consultation,birth_date_medical,medicare_number,street_address_medical,suburb_medical,postcode_medical,state_medical,phone_medical,email_medical,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
i124375071,miguel,douglas,nelsen,m,20,12/12/1997, 6  Martin  Avenue ,Rivervale,6103.0,WA, 08  2859  7840 ,nelsen.miguel@yahoo.com,certificate-iii,other-technician,100424.0, 1560  2232  0197  7549 ,4,2017-05-24T04:47+00:00,miguel,douglas,nelsen,m,18,12/12/1997, 8149  50114  1  3 , 6  newton  close  oyster  farm , south  west  rocks ,2431.0,nsw, 02  6948  0169 ,,married-de-facto,189,89,24,76,96,0,abdominal-discomfort,2015-05-18t18:02+00:00
e114774216,jesse,,mathis,f,55,28/4/1963, 1  Nevada  Crescent ,Bankstown,2200.0,NSW, 02  2556  3719 ,fjihrscrsa@mail.com,diploma,automotive-worker,54650.0, 8360  2992  2802  9612 ,35,2015-01-12T18:11+00:00,jesse,andrew,mathis,f,56,28/04/1963, 6056  29074  1  1 , 6  banyan  street  unt  6 , fannie  bay ,820.0,nt, 08  9930  4291 ,,married-de-facto,188,74,20,70,200,0,vomiting,2019-05-26t11:15+00:00
i135279930,lonnie,rose,stolic,f,40,1/2/1980, 33  birkley  road  nuffield  village ,manly,2095.0,nsw, 02  4447  7453 ,,masters-degree,general-manager,130657.0, 1832  1869  3610  7850 ,21,2020-05-12t13:40+00:00,lonnie,rose,stolic,f,38,01/02/1980, 3759  76309  2  2 , 33  birkley  road  nuffield  village ,manly,,nsw, 02  4447  7453 ,stolic40@yahoo.com,married,191,56,15,80,188,0,neuropathy,2018-11-07t13:36+00:00
e189274831,annette,lenette,candy,f,38,2/2/1982, 90  avoca  drive  kincumber  medical  cntre ,kincumber,2251.0,nsw, 02  3829  9277 ,,senior-secondary-school,taxi-driver,12224.0, 8613  7043  5318  7672 ,19,2020-06-22t20:24+00:00,annette,lenette,candy,f,36,02/02/1982, 4773  21111  2  1 , 90  avoca  drive  kincumber  medical  cntre ,kincumber,2251.0,nsw, 02  3829  9277 ,annette42@mail.com,married,177,56,17,87,175,0,hematuria,2018-06-09t16:25+00:00
g143675463,bradley,eugene,price,f,60,4/4/1958, 11  Jack  Nicklaus  Way  Parkwood  4214  QLD ,,,, 07  9474  9732 ,bradley.price@gmail.com,masters-degree,legal-professional,94714.0, 1092  5097  2107  2002 ,43,2018-03-06T17:43+00:00,bradley,eugene,price,f,59,04/04/1958, 5244  96427  1  1 , 240  mitchell  road  lucivale , wagga  wagga ,,nsw,,bradley.price@gmail.com,married,192,-99,38,87,163,0,emphysema,2017-04-26t23:17+00:00
g141007295,gary,levar,brawley,m,52,10/3/1968, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  3812  1554 ,brawley59@mail.com.au,certificate-ii,other-service-worker,48636.0, 5567  7753  0939  7546 ,32,2019-10-16t05:24+00:00,gary,levar,brawley,m,48,10/03/1968, 9581  81155  2  1 , 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa,,brawley59.mail.com.au,divorced,170,148,51,74,133,0,fall,2016-12-07t17:29+00:00
a195300728,william,ryland,bounds,f,19,27/6/2000, 25  Nyora  Street , Chester  Hill ,2162.0,NSW, 02  7929  8345 ,hddjfettch@aol.com,advance-diploma,art-media-professional,141403.0, 7699  6434  9901  9605 ,1,2019-10-03T05:31+00:00,william,ryland,allen,f,16,27/06/2000, 2121  98038  2  3 , 4  andergrove  road  van  park ,andergrove,,qld, 07  2612  3765 ,,married,168,53,18,73,255,1,increased-gait-difficulties,2016-01-23t19:28+00:00
h194055522,kathleen,brooke,autrey,f,53,19/3/1966, 125  Menin  Road ,Oakville,2765.0,NSW, 02  4408  8339 ,kathleen61@hotmail.com,secondary-school,taxi-driver,17525.0, 3999  0741  0590  3107 ,31,2015-05-06T11:19+00:00,kathleen,brooke,autrey,f,50,19/03/1966, 3216  64423  2  2 , 24  archibald  street  morshead  home ,lyneham,2602.0,act, 02  2274  5492 ,,married,191,140,38,73,126,0,hypertension,2016-10-12t08:10+00:00
a139212004,michael,olajuwon,fils-aime,m,33,13/9/1987, 28  dunlin  drive  sherwood  south , burleigh  waters ,4220.0,qld, 07  5511  9061 ,,certificate-i,clerks,44208.0, 8816  4210  8404  0946 ,14,2020-06-07t19:54+00:00,michael,olajuwon,fils-aime,m,27,13/09/1987, 7205  89838  1  1 , 28  dunlin  drive  sherwood  south , burleigh  waters ,,qld, 07  5511  9061 ,michael72.aol.com,married,195,58,15,74,191,0,left-leg-pain-radiating-to-left-foot,2016-01-02t23:45+00:00
b146454594,peter,robert,pfauth,m,69,3/5/1951, 410  tourist  drive  tanawha  terraces ,tanawha,4556.0,qld, 07  7931  6418 ,peter.pfauth@mail.com,bachelor-degree,other-technician,81529.0, 4487  8311  5652  7005 ,38,2008-05-23t12:53+00:00,peter,robert,pfauth,m,65,03/05/1951, 5560  59532  1  2 , 410  tourist  drive  tanawha  terraces ,tanawha,4556.0,qld,,,married,173,-99,39,73,166,0,broken-hip,2016-05-17t08:45+00:00
