rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R23745710,i124375071,miguel,douglas,nelsen,m,20,12/12/1997, 6  Martin  Avenue ,Rivervale,6103.0,WA, 08  2859  7840 ,nelsen.miguel@yahoo.com,certificate-iii,other-technician,100424.0, 1560  2232  0197  7549 ,4,2017-05-24T04:47+00:00
R76421714,e114774216,jesse,,mathis,f,55,28/4/1963, 1  Nevada  Crescent ,Bankstown,2200.0,NSW, 02  2556  3719 ,fjihrscrsa@mail.com,diploma,automotive-worker,54650.0, 8360  2992  2802  9612 ,35,2015-01-12T18:11+00:00
R92397530,i135279930,lonnie,rose,stolic,f,40,1/2/1980, 33  birkley  road  nuffield  village ,manly,2095.0,nsw, 02  4447  7453 ,,masters-degree,general-manager,130657.0, 1832  1869  3610  7850 ,21,2020-05-12t13:40+00:00
R87438921,e189274831,annette,lenette,candy,f,38,2/2/1982, 90  avoca  drive  kincumber  medical  cntre ,kincumber,2251.0,nsw, 02  3829  9277 ,,senior-secondary-school,taxi-driver,12224.0, 8613  7043  5318  7672 ,19,2020-06-22t20:24+00:00
R33456647,g143675463,bradley,eugene,price,f,60,4/4/1958, 11  Jack  Nicklaus  Way  Parkwood  4214  QLD ,,,, 07  9474  9732 ,bradley.price@gmail.com,masters-degree,legal-professional,94714.0, 1092  5097  2107  2002 ,43,2018-03-06T17:43+00:00
R07429150,g141007295,gary,levar,brawley,m,52,10/3/1968, 250  baltimore  parade  raafa  estate ,merriwa,6030.0,wa, 08  3812  1554 ,brawley59@mail.com.au,certificate-ii,other-service-worker,48636.0, 5567  7753  0939  7546 ,32,2019-10-16t05:24+00:00
R58327009,a195300728,william,ryland,bounds,f,19,27/6/2000, 25  Nyora  Street , Chester  Hill ,2162.0,NSW, 02  7929  8345 ,hddjfettch@aol.com,advance-diploma,art-media-professional,141403.0, 7699  6434  9901  9605 ,1,2019-10-03T05:31+00:00
R42055295,h194055522,kathleen,brooke,autrey,f,53,19/3/1966, 125  Menin  Road ,Oakville,2765.0,NSW, 02  4408  8339 ,kathleen61@hotmail.com,secondary-school,taxi-driver,17525.0, 3999  0741  0590  3107 ,31,2015-05-06T11:19+00:00
R12943200,a139212004,michael,olajuwon,fils-aime,m,33,13/9/1987, 28  dunlin  drive  sherwood  south , burleigh  waters ,4220.0,qld, 07  5511  9061 ,,certificate-i,clerks,44208.0, 8816  4210  8404  0946 ,14,2020-06-07t19:54+00:00
R45594464,b146454594,peter,robert,pfauth,m,69,3/5/1951, 410  tourist  drive  tanawha  terraces ,tanawha,4556.0,qld, 07  7931  6418 ,peter.pfauth@mail.com,bachelor-degree,other-technician,81529.0, 4487  8311  5652  7005 ,38,2008-05-23t12:53+00:00
R74182853,d118385247,steven,brandon,shepard,f,7,15/9/2013, 9  the  esplanade  bridgeport ,darwin,800.0,nt, 08  2303  2262 ,steven70@hotmail.com,primary-school,,,,0,2020-02-23t03:13+00:00
R93666284,c139826646,joshua,earl,hill,m,36,12/6/1981, 29  Jenner  Court ,Spalding,6530.0,WA, 08  5705  2414 ,hill92@gmail.com,diploma,other-technician,109592.0, 6234  2352  4916  3072 ,19,2016-06-12T15:55+00:00
R22130594,i122031495,cassio,lavone,williamson,f,51,9/12/1966, 13  Smiley  Road ,Broadmeadows,3047.0,VIC, 03  0082  4355 ,williamson21@hotmail.com,diploma,other-technician,125221.0, 6873  6962  9139  3581 ,35,2017-06-27T16:28+00:00
R42868110,h186042118,danny,,hogan,m,37,11/6/1983, 157  marconi  street  henry  kendall  bayside , bonnells  bay ,2264.0,nsw, 02  7759  5128 ,,doctoral-degree,education-professional,-9999.0, 9950  9848  5326  0864 ,16,2018-08-22t03:36+00:00
