birth_date,email,first_name,gender,last_name,middle_name,phone,postcode,state,street_address,suburb
Inconsistent,lovette90@hotmail.com,matthew,m,lovette,mcfarrin, 02  9021  3726 ,2594.0,nsw, 36  zouch  street  edward  street ,young
Inconsistent,john87@mail.com.au,john,m,stultz,foster, 03  6780  7652 ,3272.0,vic, 533  north  road  longford ,mortlake
17/10/1990,greene.carrie@mail.com,carrie,f,greene,hall, 07  8174  9535 ,4870.0,qld, 258  lyons  street  mater  dei ,westcourt
25/11/1986,diane67@mail.com,diane,f,gunther,j, 07  7140  8329 ,4157.0,qld, 25  ney  road  hillcrest  garden ,capalaba
Inconsistent,joseph.fitzgerald@mail.com,joseph,m,fitzgerald,vance, 03  1260  4677 ,3793.0,vic,Inconsistent,Inconsistent
Inconsistent,richard.phillips@yahoo.com,richard,m,phillips,edward, 02  3393  3704 ,2640.0,nsw, 633  olive  street  abbey  gate ,albury
12/12/1997,nelsen.miguel@yahoo.com,miguel,m,nelsen,douglas, 02  6948  0169 ,Inconsistent,Inconsistent,Inconsistent,Inconsistent
12/12/1997,nelsen.miguel@yahoo.com,miguel,m,nelsen,douglas, 02  6948  0169 ,Inconsistent,nsw,Inconsistent,Inconsistent
23/12/1983,ofgmgcaoqj@hotmail.com,gary,f,mccormick,ralph, 02  2638  0764 ,2010.0,nsw, 342  elizabeth  street  flr  6 , surry  hills 
28/11/1950,polk.allen@gmail.com,allen,f,polk,richard, 03  6494  8593 ,3227.0,vic, 73  riverside  terrace  corandirk , barwon  heads 
13/12/1962,transou72@gmail.com,sydney,f,transou,nichole, 02  5991  4633 ,2831.0,nsw, 176  barrs  road  uargon ,tooraweenah
Inconsistent,rodger.husain@mail.com.au,rodger,m,husain,neill, 08  3448  9284 ,800.0,nt, 64  smith  street  manolas  bldg ,darwin
Inconsistent,comtintofj@hotmail.com,keyra,f,hamburg-dibetta,pauletta, 02  9028  4585 ,2600.0,act, 22  macgregor  street  the  grange ,deakin
Inconsistent,fjihrscrsa@mail.com,jesse,f,mathis,andrew, 08  9930  4291 ,Inconsistent,Inconsistent,Inconsistent,Inconsistent
Inconsistent,fjihrscrsa@mail.com,jesse,f,mathis,andrew, 08  9930  4291 ,820.0,nt, 6  banyan  street  unt  6 , fannie  bay 
17/12/1959,stafford.ricki@gmail.com,ricki,f,stafford,williams, 03  2533  7541 ,3036.0,vic,Inconsistent,Inconsistent
Inconsistent,pike37@aol.com,ross,m,pike,b, 02  3127  4070 ,2768.0,nsw, 19  wardia  street  ironbark ,glenwood
22/12/1996,hewitt75@hotmail.com,gene,f,hewitt,g, 03  9529  3215 ,3241.0,vic, 1555  cape  otway  road  bayana ,wurdiboluc
Inconsistent,moore.richard@mail.com,richard,f,moore,lewis, 03  8955  7592 ,3134.0,vic, 209  warrandyte  road  gracedale  manor , ringwood  north 
Inconsistent,lawton86@aol.com,ryan,f,lawton,f, 08  8978  8607 ,835.0,nt, 55  wetherby  road  flea , howard  springs 
Inconsistent,irvine.darrin@gmail.com,darrin,m,irvine,michael, 02  3511  7204 ,2200.0,nsw, 34  saurine  street  apt  21/28 ,bankstown
24/12/1995,tirdjsicrm@hotmail.com,danny,f,camarata,marshall,Invalid,4350.0,qld, 1  hillview  avenue  red  dog  ret ,toowoomba
