rec_id_medical,ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,rec_id_education,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
rec-63860,e141846696,15, 1387  33065  1  3 ,,162,74,28,86,247,0,coughing,2019-11-23t19:52+00:00,R66961448,16,senior-secondary-school,casual-worker,0.0, 3065  2907  9616  8453 ,3,2020-05-03t05:43+00:00,john,foster,stultz,m,06/09/2004, 533  north  road  longford ,mortlake,3272.0,vic, 03  6780  7652 ,john87@mail.com.au
rec-11088,d179725160,10, 2447  18788  1  2 ,,132,35,20,77,136,0,low-energy,2016-10-02t13:55+00:00,R92716705,14,secondary-school,,0.0,,0,2020-02-06t06:04+00:00,loryn,luquire,edwards,f,19/09/2006, 157  marconi  street  villa  9 , bonnells  bay ,2264.0,nsw, 02  5995  8680 ,loryn.edwards@aol.com
rec-10707,a134698894,11, 4076  94639  2  3 ,,131,33,19,69,185,0,depressed-mood,2018-08-10t22:52+00:00,R46948983,13,secondary-school,,0.0,,0,2020-07-14t16:14+00:00,spencer,almid,sacra,m,25/08/2007, 15  the  avenue  john  paul  nursing ,heathcote,2233.0,nsw, 02  7500  5407 ,qaijmldski@mail.com.au
rec-28273,b185031612,5, 9293  18407  2  3 ,,106,18,16,68,206,0,low-energy,2020-05-08t13:46+00:00,R26151803,5,pre-school,,,,0,2020-03-23t06:13+00:00,patricia,sharmaine,carlson,f,19/09/2015, 40  ananda  road  farewell , oyster  cove ,7150.0,tas, 03  6011  7678 ,carlson6@aol.com
rec-59957,a132601276,12, 2736  73792  1  2 ,,156,49,20,75,188,0,fall,2016-01-17t16:08+00:00,R76321602,16,senior-secondary-school,casual-worker,0.0, 4960  2406  7230  2335 ,3,2020-06-19t15:17+00:00,laura,,scales,f,11/04/2004, 44  bungoona  road  broadwater  court ,kincumber,2251.0,nsw, 07  3875  5035 ,scales87@aol.com
rec-99735,a112127968,7, 7963  41868  1  3 ,,123,31,20,75,183,0,pre-diabetes,2014-06-20t06:53+00:00,R26297181,13,secondary-school,,0.0,,0,2020-04-06t19:48+00:00,robert,blair,soto,f,07/07/2007, 70  deals  road  the  denison  river ,bicheno,7215.0,tas, 03  3597  4135 ,
rec-54250,e169032437,11, 3808  58901  2  3 ,,135,48,26,72,55,0,dry-mouth,2013-04-02t18:42+00:00,R43926730,18,senior-secondary-school,casual-worker,0.0, 8930  9620  1486  3801 ,1,2020-02-04t23:46+00:00,jacob,lamar,battle,m,21/10/2002, 54  panorama  drive  noosa  valley ,maryborough,4650.0,qld, 07  1171  7072 ,jacob.battle@mail.com
rec-58388,c105352424,17, 8520  47169  2  3 ,,174,57,18,79,135,0,difficulty-swallowing,2020-03-23t09:54+00:00,R54052432,17,senior-secondary-school,casual-worker,0.0, 4586  6383  0925  5764 ,2,2020-03-03t05:42+00:00,angela,b,parker,f,27/03/2003, 70  hansford  road  villa  70 ,coombabah,4216.0,qld, 07  7617  8428 ,parker.angela@gmail.com
rec-94929,c156538287,13, 2627  99497  2  3 ,,144,62,29,72,174,0,musculoskeletal-pain-(knee's-bilateral),2015-08-11t19:20+00:00,R85276835,18,senior-secondary-school,casual-worker,0.0, 0218  1006  9357  6733 ,1,2020-06-24t06:03+00:00,tobias,alan,carter,f,24/10/2002, 130  redgum  road  old  bar  street ,taree,2430.0,nsw, 02  1146  3778 ,carter.tobias@gmail.com
rec-62918,d184855585,5, 7349  76226  1  3 ,,104,-99,20,74,196,0,dental-implants,2020-06-16t10:09+00:00,R54855588,5,pre-school,,0.0,,0,2020-07-24t21:36+00:00,renee,narron,rothman-webster,m,27/02/2015, 15  jubilee  avenue  jubilee  garden ,broadbeach,4218.0,qld, 07  1510  4768 ,rothman-webster.renee@aol.com
rec-49350,d122324390,9, 3316  12494  1  2 ,,125,-99,26,73,71,0,weakness-in-legs,2015-10-03t18:46+00:00,R39432202,16,senior-secondary-school,casual-worker,0.0, 3447  9859  4466  0224 ,3,2020-03-10t01:50+00:00,michael,travis,wilson,m,09/07/2004, 69  penshurst-byaduk  road  terama ,gazette,4670.0,vic, 07  4706  0738 ,
rec-54729,i114213227,12, 1508  52901  1  3 ,,138,37,19,69,149,0,sinusitis,2017-12-26t02:24+00:00,R11722342,15,secondary-school,,0.0,,0,2020-04-17t15:09+00:00,herman,rochene,diacumakos,m,21/03/2005, 411  turner  street  specialist  consulting  rooms , bacchus  marsh ,3340.0,vic, 03  7559  0722 ,qrjafnphph@yahoo.com
