rec_id_medical,ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,rec_id_education,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
rec-56205,h140232568,26, 6412  99055  1  1 ,not-married,199,56,14,78,260,0,fall,2016-07-05t13:27+00:00,R63228405,30,certificate-i,other-clerical-worker,, 2718  9116  9708  5643 ,10,2019-07-14t21:50+00:00,carrie,hall,greene,f,17/10/1990, 258  lyons  street  mater  dei ,westcourt,4870.0,qld, 07  8174  9535 ,greene.carrie@mail.com
rec-15247,d199079239,55, 2581  97622  2  2 ,married,174,63,20,81,194,0,arthritis-pain,2014-10-21t15:19+00:00,R97290993,61,certificate-iii,construction-worker,, 3533  8110  4321  0109 ,42,2020-03-03t05:35+00:00,ricki,williams,stafford,f,17/12/1959, 1  butlers  point  drive  illoura  glass  studio , newlands  arm ,3036.0,vic, 03  2533  7541 ,stafford.ricki@gmail.com
rec-40795,i135279930,38, 3759  76309  2  2 ,married,191,56,15,80,188,0,neuropathy,2018-11-07t13:36+00:00,R27305993,37,masters-degree,general-manager,, 1832  1869  3610  7850 ,21,2017-03-10T14:19+00:00,lonnie,rose,stolic,f,01/02/1980, 33  birkley  road  nuffield  village ,manly,2905.0,nsw, 02  4447  7453 ,stolic40@yahoo.com
rec-8598,i150642589,21, 3385  37618  2  3 ,married,178,-99,20,64,183,0,headache,2014-08-21t07:29+00:00,R89255046,27,certificate-iii,ict-technician,, 4800  9828  5689  4023 ,8,2020-04-17t06:45+00:00,kevin,wayne,rasco,f,18/09/1993, 1  sovereign  point  court  apt  302 ,doncaster,3108.0,vic, 03  3642  7767 ,rqonrrkhkh@gmail.com
rec-49211,b123997021,28, 4474  57064  2  2 ,not-married,193,121,32,76,195,0,fall,2016-04-22t24:49+00:00,R92190327,32,masters-degree,manager,, 1355  2693  8043  8341 ,11,2018-03-06t21:22+00:00,steven,r,stewart,m,21/05/1988, 50  liverpool  street  jobomi  house , port  lincoln ,5606.0,sa, 08  5557  4707 ,steven.stewart@yahoo.com
rec-32311,c126684873,57, 2908  17186  2  1 ,married-de-facto,198,100,25,72,284,0,cough,2015-12-03t05:15+00:00,R66427838,65,senior-secondary-school,cleaner,, 8995  0251  4701  4347 ,46,2020-07-06t02:18+00:00,to'chen,odell,ang,f,31/05/1955, 81  kogarah  lane  argyle  square ,reid,2612.0,act, 02  9783  7339 ,ang.to'chen.hotmail.com
rec-55763,c135530510,28, 8659  28576  1  2 ,married,194,131,34,65,137,0,low-back-pain-post-lp,2017-10-16t01:12+00:00,R50535103,31,advance-diploma,education-professional,, 2236  9525  4695  9861 ,6,2014-04-12t22:14+00:00,allen,mark,swaim,m,09/01/1989, 1  windeyer  road  black  hills ,mudgee,2850.0,nsw, 02  0512  1751 ,qfcqibqtpi@gmail.com
rec-26642,i124441143,52, 6889  97137  1  1 ,married,191,122,33,71,198,0,increased-forgetfullness,2016-09-20t06:26+00:00,R14134442,56,certificate-ii,engineering-worker,, 8897  6369  9551  7513 ,27,2010-07-03t10:28+00:00,jennifer,scarlette,bartell,f,28/04/1964, 101  florence  street  central  clinic , port  pirie ,5540.0,sa, 08  2060  0566 ,bartell22@mail.com.au
rec-82793,h181200375,42, 6228  93450  2  1 ,divorced,165,131,48,73,191,0,back-pain,2017-04-09t10:42+00:00,R20853017,45,advance-diploma,art-media-professional,, 9548  8682  7682  0845 ,25,2019-10-15t17:36+00:00,ronny,stephen,russell,m,09/10/1975, 4248  clarence  town  road  gwendon ,dungog,2420.0,nsw, 02  2940  2396 ,russell.ronny@mail.com
rec-28273,b185031612,5, 9293  18407  2  3 ,,106,18,16,68,206,0,low-energy,2020-05-08t13:46+00:00,R26151803,5,pre-school,,,,0,2020-03-23t06:13+00:00,patricia,sharmaine,carlson,f,19/09/2015, 40  ananda  road  farewell , oyster  cove ,7150.0,tas, 03  6011  7678 ,carlson6@aol.com
rec-43830,f128821955,62, 3321  31592  1  1 ,married,194,80,21,78,114,0,injuried-from-car-accident,2014-05-22t11:09+00:00,R15282985,68,advance-diploma,other-technician,, 9625  1410  4458  3832 ,49,2020-03-08t16:29+00:00,panthea,knight,riley,f,16/02/1952, 127  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  4864  5844 ,riley.panthea@yahoo.com
rec-79567,c165664396,63, 4487  25780  1  1 ,married-de-facto,178,120,37,76,248,0,headaches,2018-06-09t04:28+00:00,R35966466,65,certificate-ii,other-worker,, 6527  1204  2480  5560 ,41,2015-03-04t16:46+00:00,shane,g,jackson,f,11/06/1955, 33  thornton  street  thornton  towers , surfers  paradise ,4217.0,qld, 07  3198  6118 ,iaiddplaqf.mail.com.au
rec-84460,h183797966,39, 3660  96734  1  2 ,married,191,113,30,72,115,0,rash,2015-12-08t17:52+00:00,R93867796,44,certificate-ii,personal-services-worker,, 7578  1704  8210  2464 ,23,2018-08-19t20:47+00:00,alexander,burney,hanson,f,14/02/1976, 24  archibald  street  morshead  home ,lyneham,2602.0,act,,hanson30@gmail.com
rec-54900,i111227535,48, 7175  67548  1  1 ,not-married,191,-99,37,76,177,1,low-energy,2019-10-27t19:27+00:00,R35257121,49,certificate-i,other-service-worker,, 7628  6980  5541  9369 ,29,2019-03-25t24:54+00:00,justin,vincent,childers,f,24/10/1971, 6030  clarence  way  lancewood ,baryulgil,2460.0,nsw, 02  0910  0014 ,childers28@hotmail.com
rec-80658,d118385247,7, 3289  78674  1  3 ,,119,25,17,77,157,0,chest-pain-on-exercise,2020-04-18t17:51+00:00,R74182853,7,primary-school,,,,0,2020-02-23t03:13+00:00,steven,brandon,shepard,f,15/09/2013, 9  the  esplanade  bridgeport ,darwin,800.0,nt, 08  2303  2262 ,steven70@hotmail.com
rec-25083,g137966368,22, 8846  58486  1  2 ,not-married,171,79,27,75,247,0,crying,2014-10-19t21:59+00:00,R36867639,28,certificate-i,personal-services-worker,, 5865  9140  0127  5734 ,9,2020-04-09t08:02+00:00,katrina,dillingham,saunders,f,01/11/1992, 93  bulcock  street  coast  chiropractic  centre  caloundra  (opp ,caloundra,4551.0,qld, 07  4742  3798 ,katrina49@hotmail.com
rec-30827,e138549665,29, 3370  30112  2  1 ,separated,173,97,32,74,130,1,left-humerus-fracture,2018-08-27t19:12+00:00,R63455986,31,graduate-certificate,health-professional,, 1948  5168  6475  2588 ,10,2018-03-12t03:43+00:00,alex,e,howell,m,01/02/1989, 20  harriman  court  nuffield  vlge , castle  hill ,2154.0,nsw, 02  6386  3613 ,ecnehsqhnc@gmail.com
rec-10767,f162954907,20, 4476  36747  1  2 ,not-married,167,146,52,65,191,0,paroxysmal-supraventricular-tachycardia,2016-03-20t16:54+00:00,R49059267,24,certificate-i,other-service-worker,, 6469  0122  6657  1116 ,5,2020-01-07t10:02+00:00,leann,ann,gilead,f,02/12/1996, 350  boundary  road  lake  sherrin  homes ,thornlands,4164.0,qld, 07  5023  2357 ,gilead.leann@gmail.com
rec-15055,h173050792,70, 4908  98891  1  2 ,married-de-facto,179,141,44,72,102,0,increased-urinary-frequency,2017-06-01t08:05+00:00,R70527039,73,certificate-iii,ict-technician,, 4713  5564  5040  2826 ,46,2012-11-15t16:26+00:00,angela,dianne,kibalnik,f,01/12/1947, 50  meadows  drive  meadow  peak  palm ,carrara,4211.0,qld, 07  1796  9383 ,angela.kibalnik@aol.com
rec-35988,d169304355,8, 8215  46426  1  2 ,,122,28,18,76,142,0,muscloskeletal-pain,2020-03-16t03:26+00:00,R49350356,8,primary-school,,,,0,2020-04-04t06:06+00:00,ronald,t,weddle,m,13/12/2012, 3  stokes  road  clifton  waters ,bairnsdale,3875.0,vic, 03  8709  1114 ,weddle.ronald@mail.com.au
rec-67999,e171678931,80, 6335  99243  1  2 ,not-married,175,61,19,78,181,0,insomnia,2017-09-05t02:51+00:00,R17896137,83,graduate-diploma,re-tired,, 5533  2669  9610  4561 ,45,2020-06-14t01:37+00:00,megan,gay,snyder,f,30/11/1937, 54  fassifern  street  ettalong  bch  vlge ,ettalong,2257.0,nsw, 02  6709  7135 ,snyder.megan@yahoo.com
rec-63306,c105167754,60, 8493  80268  1  1 ,not-married,186,56,16,66,148,0,right-leg-cramps,2015-05-02t03:30+00:00,R75016475,65,bachelor-degree,other-technician,, 2913  7581  3522  0423 ,46,2020-03-17t15:57+00:00,jacksie,yarbrough,roach,m,13/07/1955, 65  highfields  road  concept ,highfields,4352.0,qld, 07  9131  6175 ,daggrnpbcq@mail.com
rec-81230,i191834916,19, 9045  10204  1  3 ,married-de-facto,168,103,36,75,90,0,parkinson's-disease,2018-07-16t14:14+00:00,R89311496,17,certificate-iv,ict-technician,, 5583  2118  0764  8570 ,2,2016-04-25T20:45+00:00,shawn,graeme,mcneill,f,05/02/1999, 123  willandra  road  villa  14 ,cromer,2099.0,nsw, 02  0221  7696 ,mcneill.shawn@gmail.com
rec-33061,h103052567,48, 3050  58868  1  2 ,not-married,167,56,20,81,191,1,pneumonia,2017-07-21t19:49+00:00,R50726053,51,secondary-school,taxi-driver,, 8203  3556  6621  0085 ,32,2020-04-16t08:03+00:00,nicholette,measamer,solis,f,30/08/1969, 13  cavenagh  street  carpentaria  house ,darwin,800.0,nt, 08  7789  0949 ,nicholette60@hotmail.com
rec-42042,c125583430,59, 9190  87196  1  1 ,married-de-facto,191,104,28,71,144,1,dry-eyes,2016-11-06t22:34+00:00,R05853324,63,certificate-iii,ict-technician,, 6813  4026  0311  1510 ,44,2020-02-21t18:34+00:00,gerald,joel,ireland,m,05/06/1957, 247  trower  road  shop  gd ,casuarina,835.0,nt, 08  8319  4631 ,gerald.ireland@mail.com.au
rec-79786,b156567253,13, 7700  65824  1  2 ,married-de-facto,156,-99,29,75,118,0,upper-back-pain,2014-09-07t06:30+00:00,R55623657,19,certificate-iii,ict-technician,, 0379  5592  6977  5497 ,0,2020-05-26t06:11+00:00,chester,mitchell,slaughter,f,02/01/2001, 200  danedite  road  green  acres ,weerite,3260.0,vic, 03  7299  4583 ,
rec-74009,f148647908,9, 2239  22986  2  2 ,,140,26,13,74,222,0,urinary-tract-infection,2017-06-07t08:25+00:00,R44897806,12,secondary-school,,,,0,2020-04-07t03:03+00:00,scott,thoreau,jackson,f,18/06/2008, 7  narromine  street  kirribili ,nevertire,2831.0,nsw, 02  8005  1462 ,scott98@hotmail.com
rec-88735,e135448239,32, 1617  48992  2  1 ,married,186,105,30,72,173,0,high-blood-pressure,2014-08-26t23:47+00:00,R42933458,38,certificate-i,personal-services-worker,, 1166  3259  5720  1650 ,19,2020-04-20t21:34+00:00,nicholas,robert,javoroski,f,02/04/1982, 71  rutleys  road  mecca  caravan  park , mannering  park ,2259.0,nsw, 02  9575  5558 ,tpgokjqmlj@mail.com.au
rec-60394,i125964295,23, 5827  10112  2  2 ,married,188,137,38,71,213,0,scattered-bruises-bilateral-hands,2016-11-19t11:33+00:00,R52456929,27,masters-degree,education-professional,, 2426  2311  0552  3126 ,8,2020-04-18t11:35+00:00,judy,annette,cox,f,10/07/1993, 1  windmill  road  rum  jungle ,batchelor,845.0,nt, 08  4081  5724 ,judy47@mail.com.au
rec-26985,c172123728,35, 4707  65657  1  2 ,married,193,129,34,73,206,0,intermittent-visual-changes-,2015-07-25t11:19+00:00,R73821227,40,graduate-diploma,education-professional,, 8881  7911  3071  6299 ,21,2020-02-17t23:53+00:00,gary,henry,mccutcheon,m,03/12/1980, 33  ainslie  avenue  qbe  bldg , canberra  city ,2601.0,act, 08  3542  3562 ,mccutcheon.gary@mail.com
rec-30437,i131083951,58, 1915  62786  2  1 ,not-married,168,64,22,73,300,1,history-of-falling.,2013-07-22t02:09+00:00,R03358119,65,doctoral-degree,art-media-professional,, 7597  6665  2884  0208 ,46,2020-05-08t10:33+00:00,george,rudolph,mcallister,m,29/11/1955, 289  richardson  road  scotvale  medical  centre , north  rockhampton ,4701.0,qld, 07  6501  0927 ,george.mcallister@yahoo.com
rec-28502,a160945252,57, 6940  19886  1  1 ,married,190,143,39,72,193,0,musculoskeletal-pain-in-knees,2016-10-23t20:26+00:00,R29460255,61,graduate-diploma,art-media-professional,, 2469  3539  5555  4578 ,39,2017-01-14t12:02+00:00,patricia,margaret,jones,f,19/04/1959, 40  kaolin  road  virginia  estate ,virginia,835.0,nt, 08  1277  6063 ,jones64@hotmail.com
rec-80062,f127225378,14, 8493  15447  1  2 ,not-married,175,88,28,73,88,1,musculoskeletal-pain,2015-02-11t23:10+00:00,R27823572,21,diploma,construction-worker,, 6178  2651  7399  7517 ,2,2020-05-25t06:57+00:00,john,gregory,misenheimer,f,14/09/1999, 27  crawford  street  great  lakes  nursin ,bulahdelah,2423.0,nsw, 02  9996  0636 ,john5.aol.com
rec-90023,a121103788,11, 2442  62171  2  2 ,,140,39,19,74,196,0,low-energy,2015-12-19t14:59+00:00,R82181730,16,senior-secondary-school,casual-worker,, 9954  0424  1198  3095 ,3,2020-06-01t03:14+00:00,anthony,michael,hawkins,f,13/08/2004, 341  crown  street  piccadilly  centre ,wollongong,2500.0,nsw, 02  6810  0914 ,hawkins4@hotmail.com
rec-32129,f125292160,67, 2623  80335  1  1 ,not-married,188,62,17,79,218,0,wandering,2012-08-16t08:35+00:00,R22502169,75,certificate-iv,engineering-worker,, 9915  8063  8275  3565 ,56,2020-04-01t14:03+00:00,george,harding,fairfax,m,08/08/1945, 219  kalawarra  road  adelene  court  hostel ,wyoming,2250.0,nsw, 02  0870  6372 ,fmdkssedai@aol.com
rec-35194,g139731736,64, 1801  91733  1  2 ,married-de-facto,182,138,41,78,163,0,worsening-of-depression-crying,2017-08-20t15:24+00:00,R73137639,67,secondary-school,casual-worker,, 2911  8278  1988  9723 ,42,2014-02-13t10:21+00:00,natalie,d,pulliam,m,31/05/1953, 8  rowland  avenue  crana  place ,wollongong,2500.0,nsw, 02  3249  7727 ,pulliam82@mail.com.au
rec-60838,e113527223,28, 4669  63714  1  2 ,married,199,69,17,80,47,0,fibula-fracture,2015-12-05t01:23+00:00,R27252331,33,diploma,engineering-worker,, 8390  8926  2883  3851 ,14,2020-02-01t08:35+00:00,charman,bible,lindley,f,13/09/1987, 1290  skipton  road  lismore  road , mount  bute ,3749.0,vic, 03  9457  0990 ,lokjspojmf@mail.com.au
rec-8549,e169523112,65, 7624  61345  2  2 ,married,191,112,30,68,196,0,urinary-frequency,2017-09-06t11:21+00:00,R13252196,68,certificate-iv,other-technician,, 3335  5537  8716  7052 ,49,2020-01-20t24:37+00:00,nancy,king,moore,f,19/06/1952, 77  warrane  road  house  7 ,willoughby,2068.0,nsw, 02  3829  1550 ,moore.nancy@mail.com
rec-10625,d198156833,53, 8084  67487  2  1 ,married-de-facto,176,71,22,75,217,0,gynecomastia,2018-07-09t09:44+00:00,R93588136,55,certificate-iii,other-technician,, 8359  0128  1140  7920 ,31,2015-10-07t10:39+00:00,walter,robert,rothgeb,m,23/06/1965, 25  grandview  street  flt  2 ,glenroy,3046.0,vic, 03  2855  9211 ,rothgeb.walter@aol.com
rec-71255,a156657185,57, 7743  38929  1  2 ,divorced,181,-99,36,76,238,0,redness-around-lumbar-puncture-site.,2015-02-27t01:18+00:00,R68556157,62,graduate-diploma,legislator,, 7887  5550  6749  9265 ,40,2017-10-07t17:56+00:00,roger,jamaine,michael,f,03/02/1958, 15  baker  street  spring  street , spring  hill ,2800.0,nsw, 02  3585  4315 ,michael.roger@hotmail.com
rec-96250,e122899826,24, 8337  12648  2  2 ,married,177,116,37,72,242,0,depressed-mood,2011-08-13t14:53+00:00,R29928682,33,senior-secondary-school,factory-worker,, 1504  9730  6881  9414 ,9,2015-02-09t24:19+00:00,steven,anthony,smith,f,15/12/1987, 3  township  drive  villa  9 , burleigh  heads ,4220.0,qld, 07  0365  9108 ,smith85@hotmail.com
