ssn,age_at_consultation,medicare_number,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp,current_age,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp,rec_id,first_name,middle_name,last_name,gender,birth_date,street_address,suburb,postcode,state,phone,email
e141846696,15, 1387  33065  1  3 ,not-married,162,74,28,86,247,0,coughing,2019-11-23t19:52+00:00,16,senior-secondary-school,casual-worker,0.0, 3065  2907  9616  8453 ,3,2020-05-03t05:43+00:00,rec-63860,john,foster,stultz,m,06/09/2004, 533  north  road  longford ,mortlake,3272.0,vic, 03  6780  7652 ,john87@mail.com.au
d179725160,10, 2447  18788  1  2 ,married,132,35,20,77,136,0,low-energy,2016-10-02t13:55+00:00,14,secondary-school,,0.0,,0,2020-02-06t06:04+00:00,rec-11088,loryn,luquire,edwards,f,19/09/2006, 157  marconi  street  villa  9 , bonnells  bay ,2264.0,nsw, 02  5995  8680 ,loryn.edwards@aol.com
a134698894,11, 4076  94639  2  3 ,married,131,33,19,69,185,0,depressed-mood,2018-08-10t22:52+00:00,13,secondary-school,,0.0,,0,2020-07-14t16:14+00:00,rec-10707,spencer,almid,sacra,m,25/08/2007, 15  the  avenue  john  paul  nursing ,heathcote,2233.0,nsw, 02  7500  5407 ,qaijmldski@mail.com.au
i135279930,38, 3759  76309  2  2 ,married,191,56,15,80,188,0,neuropathy,2018-11-07t13:36+00:00,37,masters-degree,general-manager,115136.16776973638, 1832  1869  3610  7850 ,21,2017-03-10T14:19+00:00,rec-40795,lonnie,rose,stolic,f,01/02/1980, 33  birkley  road  nuffield  village ,manly,2905.0,nsw, 02  4447  7453 ,stolic40@yahoo.com
b185031612,5, 9293  18407  2  3 ,married,106,18,16,68,206,0,low-energy,2020-05-08t13:46+00:00,5,pre-school,,-2443.1264124541503,,0,2020-03-23t06:13+00:00,rec-28273,patricia,sharmaine,carlson,f,19/09/2015, 40  ananda  road  farewell , oyster  cove ,7150.0,tas, 03  6011  7678 ,carlson6@aol.com
a132601276,12, 2736  73792  1  2 ,not-married,156,49,20,75,188,0,fall,2016-01-17t16:08+00:00,16,senior-secondary-school,casual-worker,0.0, 4960  2406  7230  2335 ,3,2020-06-19t15:17+00:00,rec-59957,laura,,scales,f,11/04/2004, 44  bungoona  road  broadwater  court ,kincumber,2251.0,nsw, 07  3875  5035 ,scales87@aol.com
a112127968,7, 7963  41868  1  3 ,married,123,31,20,75,183,0,pre-diabetes,2014-06-20t06:53+00:00,13,secondary-school,,0.0,,0,2020-04-06t19:48+00:00,rec-99735,robert,blair,soto,f,07/07/2007, 70  deals  road  the  denison  river ,bicheno,7215.0,tas, 03  3597  4135 ,
e169032437,11, 3808  58901  2  3 ,not-married,135,48,26,72,55,0,dry-mouth,2013-04-02t18:42+00:00,18,senior-secondary-school,casual-worker,0.0, 8930  9620  1486  3801 ,1,2020-02-04t23:46+00:00,rec-54250,jacob,lamar,battle,m,21/10/2002, 54  panorama  drive  noosa  valley ,maryborough,4650.0,qld, 07  1171  7072 ,jacob.battle@mail.com
c105352424,17, 8520  47169  2  3 ,not-married,174,57,18,79,135,0,difficulty-swallowing,2020-03-23t09:54+00:00,17,senior-secondary-school,casual-worker,0.0, 4586  6383  0925  5764 ,2,2020-03-03t05:42+00:00,rec-58388,angela,b,parker,f,27/03/2003, 70  hansford  road  villa  70 ,coombabah,4216.0,qld, 07  7617  8428 ,parker.angela@gmail.com
c156538287,13, 2627  99497  2  3 ,not-married,144,62,29,72,174,0,musculoskeletal-pain-(knee's-bilateral),2015-08-11t19:20+00:00,18,senior-secondary-school,casual-worker,0.0, 0218  1006  9357  6733 ,1,2020-06-24t06:03+00:00,rec-94929,tobias,alan,carter,f,24/10/2002, 130  redgum  road  old  bar  street ,taree,2430.0,nsw, 02  1146  3778 ,carter.tobias@gmail.com
